ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000001,.jpg,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont   ,蒂姆·罗宾斯 Tim Robbins /...,1994 , 美国 , 犯罪 剧情,9.6,1241123人
000002,.jpg,霸王别姬,,再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993 , 中国大陆 香港 , 剧情 爱情 同性,9.6,914326人
000003,.jpg,这个杀手不太冷,Léon,杀手莱昂  /  终极追杀令(台),吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994 , 法国 , 剧情 动作 犯罪,9.4,1140705人
000004,.jpg,阿甘正传,Forrest Gump,福雷斯特·冈普,Robert Zemeckis   ,Tom Hanks / Robin Wright Penn / Gary Sinise,1994 , 美国 , 剧情 爱情,9.4,978580人
000005,.jpg,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,1997 , 意大利 , 剧情 喜剧 爱情 战争,9.5,571904人
000006,.jpg,泰坦尼克号,Titanic,铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,1997 , 美国 , 剧情 爱情 灾难,9.3,914275人
000007,.jpg,千与千寻,千と千尋の神隠し,神隐少女(台)  /  Spirited Away,宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001 , 日本 , 剧情 动画 奇幻,9.3,908660人
000008,.jpg,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,1993 , 美国 , 剧情 历史 战争,9.5,513558人
000009,.jpg,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,2010 , 美国 英国 , 剧情 科幻 悬疑 冒险,9.3,994109人
000010,.jpg,机器人总动员,WALL·E,瓦力(台)  /  太空奇兵·威E(港),安德鲁·斯坦顿 Andrew Stanton   ,本·贝尔特 Ben Burtt / 艾丽...,2008 , 美国 , 爱情 科幻 动画 冒险,9.3,659888人
000011,.jpg,忠犬八公的故事,Hachi: A Dog's Tale,忠犬小八(台)  /  秋田犬八千(港),莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,2009 , 美国 英国 , 剧情,9.3,645681人
