province,consumption,region
上海,60039.35,东部
上海,327521.1,东部
上海,534351.02,东部
上海,60528.34,东部
上海,55562.09,东部
上海,51570.97,东部
上海,53188.78,东部
上海,60490.81,东部
上海,56939.48,东部
上海,122822.8,东部
北京,81882.51,东部
北京,126408.25,东部
北京,86851.33,东部
北京,85869.54,东部
北京,62213.18,东部
北京,96222.87,东部
北京,163081.78,东部
北京,383191.21,东部
北京,87518.76,东部
北京,14571.47,东部
浙江,82429.15,东部
浙江,8819.22,东部
浙江,52314.79,东部
浙江,9633.61,东部
浙江,51583.46,东部
浙江,92960.62,东部
浙江,820625.1,东部
浙江,64877.53,东部
浙江,136962.7,东部
浙江,20896.15,东部
江苏,95959.6,东部
江苏,39889.31,东部
江苏,17286.94,东部
江苏,74182.35,东部
江苏,40471.16,东部
江苏,49709.84,东部
江苏,93492.2,东部
江苏,88763.42,东部
江苏,79677.42,东部
江苏,34050.01,东部
广东,53925.3,东部
广东,88403.94,东部
广东,76911.64,东部
广东,34865.61,东部
广东,63163.46,东部
广东,33573.88,东部
广东,97212.92,东部
广东,40405.65,东部
广东,69842.78,东部
广东,53227.79,东部
福建,53550.16,东部
福建,78542.99,东部
福建,48854.64,东部
福建,89941.9,东部
福建,44703.71,东部
福建,72640.47,东部
福建,30928.25,东部
福建,73989.18,东部
福建,54645.39,东部
福建,54015.75,东部
山东,54111.76,中部
山东,28710.12,中部
山东,78728.1,中部
山东,13374.56,中部
山东,6130.69,中部
山东,81953.97,中部
山东,20820.14,中部
山东,59404.04,中部
山东,42144.92,中部
山东,87448.38,中部
内蒙古,59247.93,中部
内蒙古,5150.01,中部
内蒙古,37312.82,中部
内蒙古,27261.91,中部
内蒙古,21100.01,中部
内蒙古,47710.19,中部
内蒙古,16421.05,中部
内蒙古,2556.02,中部
内蒙古,34536.27,中部
内蒙古,25860.81,中部
辽宁,43324.4,中部
辽宁,99069.46,中部
辽宁,58309.45,中部
辽宁,23016.49,中部
辽宁,38155.43,中部
辽宁,90501.59,中部
辽宁,38596.69,中部
辽宁,33874.57,中部
辽宁,36049.43,中部
辽宁,23861.07,中部
重庆,36286.18,中部
重庆,3384.75,中部
重庆,14377.94,中部
重庆,70943.59,中部
重庆,56391.67,中部
重庆,12289.75,中部
重庆,1250.51,中部
重庆,35964.04,中部
重庆,64467.23,中部
重庆,91766.37,中部
湖南,31327.72,中部
湖南,96837.29,中部
湖南,55907.09,中部
湖南,2670.71,中部
湖南,62507.31,中部
湖南,12808.24,中部
湖南,59178.16,中部
湖南,32423.7,中部
湖南,96011.63,中部
湖南,17832.26,中部
湖北,33695.86,中部
湖北,74107.02,中部
湖北,29044.44,中部
湖北,83185.35,中部
湖北,2804.73,中部
湖北,70817.37,中部
湖北,24888.32,中部
湖北,70503.59,中部
湖北,62014.19,中部
湖北,59273.02,中部
安徽,143919.79,中部
安徽,59959,中部
安徽,88933.91,中部
安徽,40480.44,中部
安徽,12507.02,中部
安徽,10341.34,中部
安徽,35471.88,中部
安徽,71421.32,中部
安徽,41888.66,中部
安徽,74597.74,中部
江西,90739.33,中部
江西,28356.31,中部
江西,12867.72,中部
江西,86604.77,中部
江西,56414.22,中部
江西,61781.22,中部
江西,20009.96,中部
江西,65461.08,中部
江西,80057.13,中部
江西,54039.99,中部
海南,79142.86,中部
海南,81742.96,中部
海南,42765.73,中部
海南,3364.73,中部
海南,67112.05,中部
海南,84402.7,中部
海南,63356.85,中部
海南,78408.04,中部
海南,64260.89,中部
海南,45371.35,中部
河北,18521.42,中部
河北,95706.77,中部
河北,12121.26,中部
河北,87897.54,中部
河北,75872.77,中部
河北,61308,中部
河北,14463.04,中部
河北,54184.4,中部
河北,10019.75,中部
河北,76358.42,中部
四川,17562.52,中部
四川,6542.81,中部
四川,64434.92,中部
四川,39215.66,中部
四川,50395.64,中部
四川,57603.29,中部
四川,57032.49,中部
四川,25137.57,中部
四川,52197.27,中部
四川,8190.11,中部
陕西,90670.73,西部
陕西,71301.61,西部
陕西,61898.92,西部
陕西,72192.41,西部
陕西,94771.49,西部
陕西,23842.95,西部
陕西,10300.48,西部
陕西,2371.21,西部
陕西,7288.01,西部
陕西,35760.57,西部
宁夏,6198.97,西部
宁夏,37894.41,西部
宁夏,59460.24,西部
宁夏,1767.39,西部
宁夏,2775.15,西部
宁夏,57489.63,西部
宁夏,35472.5,西部
宁夏,83817.49,西部
宁夏,10574.59,西部
宁夏,65596.73,西部
山西,90887.16,中部
山西,57466.76,中部
山西,84653.38,中部
山西,54944.49,中部
山西,16911.68,中部
山西,39096.26,中部
山西,26829.1,中部
山西,16686.46,中部
山西,91470.37,中部
山西,75702.64,中部
河南,28007.02,中部
河南,16728.01,中部
河南,20121.29,中部
河南,48175.94,中部
河南,65781.67,中部
河南,6677.75,中部
河南,63745.54,中部
河南,23588.1,中部
河南,58327.97,中部
河南,24080.81,中部
西藏,38880.98,西部
西藏,66848.55,西部
西藏,87858.15,西部
西藏,12942.62,西部
西藏,47860.89,西部
西藏,49655.75,西部
西藏,31484.66,西部
西藏,53312.76,西部
西藏,29648.56,西部
西藏,56256.34,西部
吉林,3495.59,东部
吉林,8023.96,东部
吉林,29098.57,东部
吉林,29060.22,东部
吉林,7605.86,东部
吉林,15276.44,东部
吉林,17092.43,东部
吉林,49623.1,东部
吉林,59426.54,东部
吉林,22892.88,东部
黑龙江,92381.2,东部
黑龙江,74301.91,东部
黑龙江,36404.87,东部
黑龙江,30330.42,东部
黑龙江,78963.3,东部
黑龙江,22670.96,东部
黑龙江,32529.55,东部
黑龙江,85556.66,东部
黑龙江,9391.91,东部
黑龙江,3862.04,东部
广西,40570.56,东部
广西,24047.39,东部
广西,5632.99,东部
广西,13115.49,东部
广西,15421.76,东部
广西,7161.72,东部
广西,2521.58,东部
广西,5692.35,东部
广西,20132.19,东部
广西,6367.97,东部
新疆,7461.18,西部
新疆,51560.54,西部
新疆,2055.69,西部
新疆,8561.16,西部
新疆,76305.79,西部
新疆,12290.58,西部
新疆,992.98,西部
新疆,58001.95,西部
新疆,40574.44,西部
新疆,10527.97,西部
青海,25349.17,西部
青海,90594.99,西部
青海,801.95,西部
青海,60389.4,西部
青海,8049.22,西部
青海,815.37,西部
青海,13282.78,西部
青海,50454.64,西部
青海,54778.14,西部
青海,9161.61,西部
云南,4459.11,西部
云南,299.4,西部
云南,49581.38,西部
云南,76152.31,西部
云南,39752.08,西部
云南,10226.4,西部
云南,43405.65,西部
云南,82777.49,西部
云南,30726.7,西部
云南,85404.59,西部
贵州,18463.2,西部
贵州,5277.35,西部
贵州,4307.41,西部
贵州,23392.44,西部
贵州,23660,西部
贵州,8892.89,西部
贵州,8108.68,西部
贵州,22718.83,西部
贵州,42861.45,西部
贵州,10439.43,西部
甘肃,5640.82,西部
甘肃,34087.7,西部
甘肃,34021.8,西部
甘肃,8853.72,西部
甘肃,21108.49,西部
甘肃,54554.94,西部
甘肃,71631.14,西部
甘肃,54621.65,西部
甘肃,529.36,西部
甘肃,28761.63,西部
